"","baffle_prop","density","bush_density","df.prop_males","tactic","mean_success","sd","ci"
"188",0.05,0.75,0,0.5,"caller",0.470629084914848,0.395438443351697,0.0775059348969327
"189",0.05,1,0,0.5,"caller",0.523226744233637,0.434727785280165,0.0852066459149123
"190",0.09,0.01,0,0.5,"caller",0.0479455159214707,0.0209847143442584,0.00411300401147465
"191",0.09,0.05,0,0.5,"caller",0.130944470570111,0.062563870148392,0.0122625185490848
"192",0.09,0.1,0,0.5,"caller",0.181921828758694,0.102416438247857,0.02007362189658
"193",0.09,0.25,0,0.5,"caller",0.274764169902153,0.199580323968814,0.0391177434978875
"194",0.09,0.5,0,0.5,"caller",0.333477557026113,0.2763756100931,0.0541696195782476
"195",0.09,0.75,0,0.5,"caller",0.410219406145116,0.353781770241737,0.0693412269673805
"196",0.09,1,0,0.5,"caller",0.447545602525807,0.381292284490404,0.0747332877601191
"197",0.13,0.01,0,0.5,"caller",0.0448014602133417,0.0215599996038725,0.00422575992235901
"198",0.13,0.05,0,0.5,"caller",0.112576270002318,0.0555284918012033,0.0108835843930359
"199",0.13,0.1,0,0.5,"caller",0.178278892593557,0.0915376139214559,0.0179413723286053
"200",0.13,0.25,0,0.5,"caller",0.251563198688441,0.174345136565216,0.0341716467667822
"201",0.13,0.5,0,0.5,"caller",0.29965460093987,0.262995690204218,0.0515471552800267
"202",0.13,0.75,0,0.5,"caller",0.370596689477669,0.328473994824125,0.0643809029855286
"203",0.13,1,0,0.5,"caller",0.421671882591672,0.378559353235209,0.0741976332341009
"204",0.17,0.01,0,0.5,"caller",0.0402466539266939,0.0213006897700785,0.00417493519493539
"205",0.17,0.05,0,0.5,"caller",0.105848141721214,0.0612838222160709,0.0120116291543499
"206",0.17,0.1,0,0.5,"caller",0.149851102746351,0.0862879541452559,0.0169124390124702
"207",0.17,0.25,0,0.5,"caller",0.212341006604285,0.161962332559181,0.0317446171815995
"208",0.17,0.5,0,0.5,"caller",0.280146985605295,0.231733472498808,0.0454197606097664
"209",0.17,0.75,0,0.5,"caller",0.327461688558919,0.3162906319661,0.0619929638653556
"210",0.17,1,0,0.5,"caller",0.370299898806601,0.336537750979043,0.0659613991918924
"211",0.21,0.01,0,0.5,"caller",0.0387230433410478,0.0229148431357075,0.00449130925459867
"212",0.21,0.05,0,0.5,"caller",0.10041447114657,0.0586794512878082,0.0115011724524104
"213",0.21,0.1,0,0.5,"caller",0.143225988849148,0.0955045217236282,0.0187188862578311
"214",0.21,0.25,0,0.5,"caller",0.194750729917577,0.16725650691035,0.0327822753544286
"215",0.21,0.5,0,0.5,"caller",0.254619494705099,0.244621309202299,0.0479457766036507
"216",0.21,0.75,0,0.5,"caller",0.317989055158146,0.301644913218533,0.0591224029908325
"217",0.21,1,0,0.5,"caller",0.336819684059191,0.325848456833869,0.0638662975394384
