"baffle_prop","density","bush_density","male_prop","tactic","mean_success","sd","ci"
0.33,0.25,0,0.5,"silent",0.0305313604190674,0.0229356022643756,0.00449537804381763
0.33,0.5,0,0.5,"baffler",0.563170731707317,0.434665268648316,0.08519439265507
0.33,0.5,0,0.5,"caller",0.220152732494049,0.176873394081927,0.0346671852400577
0.33,0.5,0,0.5,"silent",0.060699782559375,0.0360476984692936,0.00706534889998154
0.33,0.75,0,0.5,"baffler",0.639512195121951,0.511053879387006,0.100166560359853
0.33,0.75,0,0.5,"caller",0.268064285792026,0.221839127100263,0.0434804689116516
0.33,0.75,0,0.5,"silent",0.0870471911298601,0.0426860755696326,0.00836647081164799
0.33,1,0,0.5,"baffler",0.715853658536585,0.576114324474134,0.11291840759693
0.33,1,0,0.5,"caller",0.314888508738788,0.278905274427539,0.0546654337877977
0.33,1,0,0.5,"silent",0.120447527848349,0.0504293142563427,0.00988414559424318
0.37,0.01,0,0.5,"baffler",0.0857608695652173,0.0357976281879176,0.00701633512483184
0.37,0.01,0,0.5,"caller",0.0391808402567896,0.0240904261014397,0.00472172351588218
0.37,0.01,0,0.5,"silent",0.00215031645569621,0.00477531069390325,0.000935960896005037
0.37,0.05,0,0.5,"baffler",0.21195652173913,0.114715806474868,0.0224842980690741
0.37,0.05,0,0.5,"caller",0.0855176890619928,0.0571731170601854,0.0112059309437963
0.37,0.05,0,0.5,"silent",0.00734018987341773,0.0111162639416181,0.00217878773255716
0.37,0.1,0,0.5,"baffler",0.293152173913043,0.174546325855846,0.0342110798677459
0.37,0.1,0,0.5,"caller",0.109638778942576,0.0845945493570335,0.0165805316739786
0.37,0.1,0,0.5,"silent",0.0122391584622597,0.0139342075145704,0.00273110467285579
0.37,0.25,0,0.5,"baffler",0.420760869565217,0.302480685693139,0.0592862143958552
0.37,0.25,0,0.5,"caller",0.154024878075511,0.124218292906883,0.0243467854097492
0.37,0.25,0,0.5,"silent",0.0319811298640413,0.0203032810086935,0.00397944307770393
0.37,0.5,0,0.5,"baffler",0.530108695652174,0.411755309888996,0.0807040407382432
0.37,0.5,0,0.5,"caller",0.215299826755523,0.192857736772069,0.0378001164073255
0.37,0.5,0,0.5,"silent",0.0584893147366776,0.0335388732369213,0.00657361915443657
0.37,0.75,0,0.5,"baffler",0.620760869565218,0.503470074164526,0.0986801345362471
0.37,0.75,0,0.5,"caller",0.260463062365128,0.21157829740659,0.0414693462916917
0.37,0.75,0,0.5,"silent",0.0906825937932375,0.0442460238331904,0.00867222067130533
0.37,1,0,0.5,"baffler",0.701195652173913,0.55649217770837,0.10907246683084
0.37,1,0,0.5,"caller",0.302313656807328,0.244801480169943,0.0479810901133087
0.37,1,0,0.5,"silent",0.113573175496171,0.0567941260568231,0.0111316487071373
0.41,0.01,0,0.5,"baffler",0.085631067961165,0.0356222340603677,0.00698195787583206
0.41,0.01,0,0.5,"caller",0.0304294705664569,0.0221912141027459,0.00434947796413821
0.41,0.01,0,0.5,"silent",0.00191410588670863,0.00515025203583129,0.00100944939902293
0.41,0.05,0,0.5,"baffler",0.209708737864078,0.119514268742925,0.0234247966736133
0.41,0.05,0,0.5,"caller",0.0751711300341437,0.056889038926704,0.011150251629634
0.41,0.05,0,0.5,"silent",0.00765827471306923,0.00978415974322935,0.00191769530967295
0.41,0.1,0,0.5,"baffler",0.279902912621359,0.178519936232341,0.0349899075015388
0.41,0.1,0,0.5,"caller",0.0971939405158584,0.07882435293716,0.0154495731756834
0.41,0.1,0,0.5,"silent",0.0127139577934098,0.0126227219507702,0.00247405350235095
0.41,0.25,0,0.5,"baffler",0.391941747572816,0.275776270099713,0.0540521489395438
0.41,0.25,0,0.5,"caller",0.143145131432803,0.128536332594078,0.0251931211884393
0.41,0.25,0,0.5,"silent",0.0313309885227693,0.0239313146440849,0.00469053767024065
0.41,0.5,0,0.5,"baffler",0.499417475728155,0.394528464856963,0.0773275791119647
0.41,0.5,0,0.5,"caller",0.195260037434695,0.170800125731159,0.0334768246433071
0.41,0.5,0,0.5,"silent",0.0579647537948908,0.0332536127559504,0.00651770810016628
0.41,0.75,0,0.5,"baffler",0.607864077669903,0.493952753772125,0.0968147397393365
0.41,0.75,0,0.5,"caller",0.272383266442209,0.238230824050314,0.0466932415138615
0.41,0.75,0,0.5,"silent",0.0866080873230837,0.0430388325629174,0.00843561118233181
0.41,1,0,0.5,"baffler",0.663203883495146,0.540627798186774,0.105963048444608
0.41,1,0,0.5,"caller",0.299169167479268,0.237643869575953,0.0465781984368867
0.41,1,0,0.5,"silent",0.118264832388264,0.0527248972845369,0.0103340798677692
0.45,0.01,0,0.5,"baffler",0.0835714285714286,0.0326647150856466,0.00640228415678674
0.45,0.01,0,0.5,"caller",0.0335359964881475,0.0223854298643965,0.00438754425342171
0.45,0.01,0,0.5,"silent",0.00100626950106436,0.00420869910644208,0.000824905024862647
0.45,0.05,0,0.5,"baffler",0.206875,0.110975340124504,0.0217511666644028
0.45,0.05,0,0.5,"caller",0.0701356071305875,0.0554257438953532,0.0108634458034892
0.45,0.05,0,0.5,"silent",0.00766879538098154,0.0105814656123866,0.00207396726002777
0.45,0.1,0,0.5,"baffler",0.267053571428571,0.17976286785528,0.0352335220996348
0.45,0.1,0,0.5,"caller",0.0926419373719637,0.0798813343524307,0.0156567415330764
0.45,0.1,0,0.5,"silent",0.0109898813168868,0.0118228153012277,0.00231727179904062
0.45,0.25,0,0.5,"baffler",0.384107142857143,0.282440262363127,0.0553582914231728
0.45,0.25,0,0.5,"caller",0.148438850851532,0.131571423744058,0.0257879990538354
0.45,0.25,0,0.5,"silent",0.0318038885486834,0.025831987944619,0.00506306963714532
0.45,0.5,0,0.5,"baffler",0.479910714285714,0.383491804566615,0.0751643936950566
0.45,0.5,0,0.5,"caller",0.194986321588986,0.167462475058686,0.0328226451115025
0.45,0.5,0,0.5,"silent",0.0632910798122066,0.036487487847209,0.00715154761805296
0.45,0.75,0,0.5,"baffler",0.582857142857143,0.476303896124749,0.0933555636404508
